Precinct,Mary-Ann Baldwin ,Zainab Baloch,Charles Francis,George Knott ,Caroline Sullivan, Justin L. Sutton,WRITE-IN
0001 01-01,261,42,200,8,107,9,1
0002 01-02,309,60,156,7,178,6,2
0003 01-03,346,22,128,10,300,7,1
0004 01-04,205,23,63,6,166,1,0
0005 01-05,224,4,75,5,185,2,2
0006 01-06,479,89,123,7,170,4,0
0007 01-07,366,57,161,3,144,8,1
0008 01-07,11,2,23,4,8,1,0
0009 01-09,268,25,73,9,154,3,0
0010 01-10,335,14,96,11,240,1,1
0011 01-11,443,7,115,5,352,2,0
0012 01-12,329,24,84,1,149,7,2
0013 01-13,330,55,120,6,97,4,1
0014 01-14,814,118,259,16,255,13,4
0015 01-15,239,16,87,11,151,12,1
0016 01-16,344,37,213,22,244,9,1
0017 01-17,165,9,49,5,63,5,1
0018 01-18,287,32,168,10,127,9,1
0019 01-19,42,18,252,1,16,3,0
0020 01-20,253,54,351,7,66,13,1
0021 01-21,314,78,200,15,103,10,0
0022 01-22,61,22,552,2,36,8,1
0023 01-23,234,121,104,8,72,12,1
0024 01-25,33,12,43,1,8,4,1
0025 01-26,206,40,189,2,43,9,0
0026 01-27,355,68,126,5,113,10,1
0027 01-28,385,114,372,17,120,20,0
0028 01-29,415,23,191,7,352,5,0
0029 01-30,198,11,83,6,124,8,2
0030 01-31,150,122,122,4,72,6,0
0031 01-32,169,58,121,5,77,15,1
0032 01-33,284,18,136,1,208,2,0
0033 01-34,100,39,178,3,23,4,0
0034 01-35,70,25,300,4,20,6,0
0035 01-36,303,15,98,7,240,5,1
0036 01-37,248,19,103,8,141,5,2
0037 01-38,201,46,177,16,95,15,4
0038 01-39,226,39,123,15,77,10,3
0039 01-40,73,45,522,9,37,19,0
0040 01-41,247,63,123,10,101,3,0
0041 01-42,300,24,159,7,147,18,0
0042 01-43,176,19,88,14,90,7,1
0043 01-44,263,32,185,11,137,17,4
0044 01-45,165,15,89,8,79,13,0
0045 01-46,93,43,158,4,46,14,3
0046 01-47,230,21,110,6,120,19,5
0047 01-48,279,60,178,11,125,5,1
0048 01-49,100,49,86,5,45,10,4
0049 01-50,55,22,469,3,26,11,2
0050 01-51,139,9,53,6,69,11,0
0051 02-01,65,3,25,0,49,2,1
0052 02-04,10,0,14,0,13,2,0
0053 02-06,79,10,35,2,53,3,0
0058 04-05,36,19,13,2,16,2,0
0077 05-05,222,48,228,7,112,21,2
0082 07-01,204,30,88,7,87,10,2
0083 07-02,160,5,72,8,78,10,0
0084 07-03,207,15,78,7,103,11,0
0085 07-04,371,82,177,10,198,18,3
0086 07-05,155,12,98,8,70,13,4
0087 07-06,400,25,151,24,311,14,0
0088 07-07,385,33,136,6,240,21,8
0089 07-07,130,1,37,1,72,2,0
0090 07-09,287,45,106,7,176,6,0
0091 07-10,251,39,192,8,129,16,1
0092 07-11,178,14,51,10,86,10,1
0093 07-12,217,21,108,12,175,4,3
0094 07-13,169,22,114,4,118,15,1
0095 08-02,286,28,133,5,147,22,3
0096 08-03,186,34,157,15,116,19,2
0097 08-05,68,7,28,2,27,7,1
0098 08-06,102,24,86,9,65,9,2
0099 08-07,1,0,5,0,0,0,0
0100 08-08,153,15,106,4,115,11,2
0101 08-09,155,33,77,10,101,11,1
0102 08-10,142,11,109,4,75,8,2
0103 08-11,215,22,126,4,122,14,1
0104 11-01,341,53,166,8,133,25,3
0105 11-02,505,39,253,16,295,13,4
0107 13-01,107,55,258,5,64,15,0
0108 13-02,134,16,98,2,73,16,0
0109 13-05,50,14,74,3,32,7,1
0110 13-06,211,27,153,10,157,20,1
0111 13-07,72,29,157,2,60,12,2
0112 13-08,54,30,151,1,29,8,1
0113 13-09,95,79,318,11,68,21,2
0114 13-10,407,62,315,13,213,40,4
0115 13-11,250,16,186,9,146,16,1
0116 16-02,13,12,189,0,14,5,0
0117 16-10,38,25,460,2,27,11,0
0118 16-11,18,17,220,0,12,3,1
0119 17-01,102,25,176,12,43,10,1
0120 17-03,200,42,445,14,144,30,1
0121 17-04,32,8,68,1,21,7,0
0122 17-05,157,45,311,7,90,9,6
0123 17-07,84,21,403,1,42,11,0
0124 17-09,47,22,387,2,37,14,0
0125 17-10,47,8,103,10,31,11,2
0126 17-11,109,31,318,8,71,20,1
0127 18-01,178,110,137,11,64,20,3
0130 18-04,0,0,0,0,0,0,0
0132 18-06,151,76,84,6,55,12,0
0134 19-13,61,16,75,7,40,6,2
0135 19-14,107,20,133,7,51,12,6
0136 19-15,72,11,60,5,49,9,0
0137 19-16,31,9,87,3,14,4,0
0138 19-17,148,46,365,15,100,29,1
0139 19-21,55,7,73,0,29,3,1
